시설명,분류,어른관람료,운영기관전화번호,지역번호
필암서원 유물전시관,일반,500,061-390-7224,061
원주역사박물관,일반,0,033-737-4371,033
뮤지엄산미술관,일반,15000,033-730-9000,033
오랜미래신화미술관,일반,0,033-746-5256,033
연세대학교 원주박물관,대학,0,033-760-2731,033
뮤지엄산박물관,일반,15000,033-730-9000,033
뮤지엄산(청조갤러리),일반,15000,033-730-9000,033
치악산 고판화박물관,일반,5000,033-761-7885,033
남원향토박물관,일반,0,063-620-5797,063
청도박물관,일반,0,054-370-2282,054
합천박물관,일반,0,055-930-4882,055
합천한의학박물관,일반,2000,055-934-0601,055
해인사성보박물관,일반,2000,055-934-3150,055
신풍미술관,일반,2000,054-653-9329,054
예천박물관,일반,0,054-650-8311,054
신풍미술관,일반,2000,054-653-9329,054
예천박물관,일반,0,054-650-8311,054
인천개항박물관,일반,500,032-760-7508,032
짜장면박물관,일반,500,032-773-9812,032
영종역사관,일반,1000,032-760-6300,032
중구생활사전시관,일반,1000,032-766-2202,032
인천개항장 근대건축전시관,일반,500,032-760-7549,032
한중문화관,일반,1000,032-760-7860,032
성남아트센터 큐브미술관,일반,0,031-783-8000,031
현대어린이책미술관 MOKA,일반,0,031-5170-3700,031
미누현대미술관,일반,8000,031-754-9696,031
신구대학교식물원 갤러리 우촌,대학,7000,031-724-1625,031
판교박물관,일반,0,031-729-4535,031
신구대학 우촌박물관,일반,0,031-740-1258,031
기당미술관,일반,1000,064-733-1586,064
신영영화박물관 무비스타,일반,9000,064-805-0008,064
초콜릿 박물관,일반,6000,064-792-3121,064
제주추사관,일반,0,064-710-6803,064
조안베어뮤지엄,일반,5000,064-739-1024,064
소암기념관,일반,0,064-760-3511,064
유인미술관,일반,12000,064-731-7791,064
김영갑갤러리 (두모악),일반,4500,064-784-9905,064
제주커피박물관 바움,일반,0,064-784-2255,064
세계오지민속박물관 (베니스랜드),일반,12000,064-784-6565,064
제주해양과학관 (아쿠아플라넷),일반,40900,064-780-0900,064
제주항공우주박물관,일반,10000,064-800-2009,064
본태박물관,일반,20000,064-792-8108,064
설록차전시관,일반,0,064-794-5312,064
제주건강과 성 박물관,일반,12000,064-792-5700,064
포레스트판타지아,일반,15000,064-794-9680,064
세계자동차 제주박물관,일반,11000,064-792-3000,064
헬로키티아일랜드,일반,14000,064-792-6114,064
SOS박물관,일반,12000,064-738-1448,064
닥종이인형박물관,일반,5000,064-739-3906,064
아프리카 박물관,일반,10000,064-738-6565,064
이중섭미술관,일반,1500,064-760-3567,064
박물관은살아있다,일반,12000,064-805-0888,064
곰완구전시관 (테디베어뮤지엄),일반,10000,064-738-7600,064
제주유리박물관,일반,9000,064-792-6262,064
왈종미술관,일반,5000,064-763-3600,064
세계조가비박물관,일반,6000,064-762-5551,064
자연사랑 미술관,일반,0,064-787-3110,064
제주민속촌,일반,11000,064-787-4501,064
세계술박물관,일반,5000,064-787-9500,064
감귤박물관,일반,1500,064-760-6398,064
박을복자수박물관,일반,6000,02-990-7000,02
무안군오승우미술관,일반,0,061-450-5482,061
이천시립월전미술관,일반,2000,031-637-0033,031
이천시립박물관,일반,0,031-635-8500,031
유엔평화기념관,일반,0,051-901-1400,051
경성대학교박물관,대학,0,051-663-5381,051
부경대학교박물관,대학,0,051-629-6771,051
부산시립박물관,일반,0,051-610-7150,051
경성대학교미술관,대학,0,051-663-5361,051
하남역사박물관,일반,0,031-790-7915,031
정림사지박물관,일반,1500,041-832-2721,041
예송미술관,일반,0,02-2147-2810,02
한국광고박물관,일반,0,02-2144-0116,02
소마미술관,일반,3000,02-425-1077,02
서울올림픽기념관,일반,0,02-410-1354,02
롯데월드민속박물관,일반,5000,1661-2000,1661
한미사진미술관,일반,6000,02-418-1315,02
한성백제박물관,일반,0,02-2152-5800,02
몽촌역사관,일반,0,02-2152-5900,02
롯데월드아쿠아리움,일반,29000,1661-2000,1661
롯데뮤지엄,일반,13000,02-3213-1132,02
옹기민속박물관,일반,0,02-900-0900,02
덕성여자대학교 박물관,대학,0,02-901-8131,02
산악박물관,일반,0,02-909-3693,02
신평생활사박물관,일반,0,063-640-4121,063
조태일 시문학기념관,일반,0,061-362-5868,061
거창박물관,일반,0,055-940-8740,055
김중업건축박물관,일반,0,031-687-0909,031
안양박물관,일반,0,031-687-0909,031
돌석도예박물관,일반,3000,031-464-7734,031
한광미술관,일반,0,051-469-0095,051
국립제주박물관,일반,0,064-720-8000,064
민속자연사박물관,일반,2000,064-710-7708,064
제주교육박물관,일반,0,064-752-9101,064
신영영화박물관 무비스타,일반,9000,064-805-0008,064
제주민속촌,일반,11000,064-787-4501,064
제주대학교?박물관,대학,0,064-754-2242,064
설록차전시관,일반,0,064-794-5312,064
제주평화박물관,일반,6000,064-772-2500,064
감귤박물관,일반,1500,064-760-6398,064
아프리카 박물관,일반,10000,064-738-6565,064
제주돌박물관,일반,5000,064-710-7731,064
제주건강과 성 박물관,일반,12000,064-792-5700,064
파파월드,일반,13000,064-799-7272,064
해녀박물관,일반,1100,064-782-9898,064
세계자동차 제주박물관,일반,11000,064-792-3000,064
테마공원 선녀와나무꾼,일반,11000,064-784-9004,064
조안베어뮤지엄,일반,5000,064-739-1024,064
김만덕기념관,일반,0,064-759-6090,064
초콜릿 박물관,일반,6000,064-792-3121,064
곰완구전시관 (테디베어뮤지엄),일반,10000,064-738-7600,064
제주유리박물관,일반,9000,064-792-6262,064
제주4.3 평화기념관,일반,0,064-710-8435,064
설문대여성문화센터여성역사문화전시관,일반,0,064-710-4246,064
세계조가비박물관,일반,6000,064-762-5551,064
메이즈 뮤지움,일반,11000,064-784-3838,064
다희연 티 뮤지엄,일반,5000,064-782-0005,064
제주해양과학관 (아쿠아플라넷),일반,40900,064-780-0900,064
SOS박물관,일반,12000,064-738-1448,064
본태박물관,일반,20000,064-792-8108,064
넥슨컴퓨터 박물관,일반,8000,064-745-1994,064
헬로키티아일랜드,일반,14000,064-792-6114,064
제주항공우주박물관,일반,10000,064-800-2009,064
한울랜드뮤지엄,일반,9000,064-783-5788,064
세계오지민속박물관 (베니스랜드),일반,12000,064-784-6565,064
제주커피박물관 바움,일반,0,064-784-2255,064
닥종이인형박물관,일반,5000,064-739-3906,064
세계술박물관,일반,5000,064-787-9500,064
기당미술관,일반,1000,064-733-1586,064
이중섭미술관,일반,1500,064-760-3567,064
